地點位置,管轄分局,latitude,longitude
新北市蘆洲區復興路,蘆洲分局,25.0908734,121.483372
新北市蘆洲區長樂路,蘆洲分局,25.0867879,121.4627009
新北市蘆洲區中山一路,蘆洲分局,25.0794018,121.479121
新北市樹林區復興路,樹林分局,24.9917252,121.4205677
新北市樹林區佳園路三段,樹林分局,24.9451036,121.3842215
新北市新莊區自強街,新莊分局,25.0468286,121.4547437
新北市新莊區民安路,新莊分局,25.0229667,121.4310471
新北市新莊區中正路,新莊分局,25.0311205,121.4297858
新北市新店區建國路,新店分局,36.843497,119.4062749
新北市新店區安康路二段,新店分局,24.9588498,121.5087419
新北市新店區民權路,新店分局,24.9829231,121.5390574
新北市新店區北新路一段,新店分局,24.9690492,121.5418974
新北市新店區中正路,新店分局,24.9853769,121.5336191
新北市板橋區龍泉街,海山分局,25.0241299,121.4572638
新北市板橋區龍泉街,海山分局,25.0241299,121.4572638
新北市板橋區民享街,海山分局,25.0156039,121.4768556
新北市板橋區文聖街,海山分局,25.0298617,121.4775426
新北市板橋區南雅南路二段,板橋分局,24.9963535,121.4519106
新北市板橋區府中路,板橋分局,25.0089197,121.4587643
新北市板橋區大觀路二段,板橋分局,25.0003758,121.4450824
新北市汐止區忠孝東路,汐止分局,25.0736815,121.6662074
新北市永和區竹林路,永和分局,25.0086975,121.5207347
新北市永和區民有街,永和分局,24.9968747,121.5162883
新北市中和區錦和路,中和分局,36.8434938,119.4066973
新北市中和區華新街,中和分局,31.789252,119.9507511
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市中和區員山路,中和分局,36.843497,119.4062749
新北市中和區建八路,中和分局,24.9985879,121.4910615
新北市中和區永和路,中和分局,25.0044965,121.4987953
新北市中和區民利街,中和分局,24.9982537,121.4783098
新北市中和區中山路三段,中和分局,25.0057447,121.4763092
新北市中和區中山路二段,中和分局,25.0035533,121.5027478
新北市土城區學府路一段,土城分局,24.9840581,121.4510001
新北市土城區福安街,土城分局,24.9639696,121.4174137
新北市土城區海山路,土城分局,24.9867607,121.4493473
新北市三重區重新路三段,三重分局,25.0595938,121.4912565
新北市三重區長元街,三重分局,25.0663809,121.5016152
新北市三重區正義北路,三重分局,25.0647539,121.4971392
新北市三重區中正北路,三重分局,25.0659175,121.4847526
新北市三重區力行路一段,三重分局,25.0679877,121.4863882
新北市三重區大同北路,三重分局,25.0641867,121.4931307
新北市三重區大同南路,三重分局,25.058358,121.4963507
新北市三重區中正北路,三重分局,25.0659175,121.4847526
新北市三重區仁愛街,三重分局,25.0811331,121.4842211
新北市三重區正義北路,三重分局,25.0647539,121.4971392
新北市三重區安和路,三重分局,25.0689913,121.5010144
新北市三重區長元街,三重分局,25.0663809,121.5016152
新北市三重區重新路二段,三重分局,25.0626232,121.4988781
新北市三重區重新路五段,三重分局,25.0462417,121.4713072
新北市三峽區文化路,三峽分局,24.935929,121.3618431
新北市三峽區復興路,三峽分局,24.9380445,121.371726
新北市土城區金城路一段,土城分局,24.9727154,121.4438994
新北市土城區金城路二段,土城分局,24.9846086,121.4595055
新北市土城區學府路一段,土城分局,24.9840581,121.4510001
新北市中和區中山路二段,中和分局,25.0035533,121.5027478
新北市中和區中山路三段,中和分局,25.0057447,121.4763092
新北市中和區中正路,中和分局,25.02473,121.4506
新北市中和區民安街,中和分局,24.999713,121.4781931
新北市中和區員山路,中和分局,36.843497,119.4062749
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市中和區景新街,中和分局,24.9905371,121.5130939
新北市中和區興南路二段,中和分局,24.980221,121.5003878
新北市中和區錦和路,中和分局,36.8434938,119.4066973
新北市永和區仁愛路,永和分局,25.0126733,121.5102059
新北市汐止區原興路,汐止分局,25.06633,121.6319777
新北市汐止區新台五路一段,汐止分局,25.0627451,121.6553962
新北市板橋區大觀路二段,板橋分局,25.0003758,121.4450824
新北市板橋區南雅南路二段,板橋分局,24.9963535,121.4519106
新北市板橋區中山路二段,海山分局,25.0200903,121.4813817
新北市板橋區文化路一段,海山分局,25.0145712,121.4617579
新北市板橋區文化路二段,海山分局,25.026573,121.4701257
新北市板橋區裕民街,海山分局,25.0281969,121.4605784
新北市板橋區縣民大道,海山分局,25.0125539,121.4623342
新北市新店區中正路,新店分局,24.9853769,121.5336191
新北市新店區中興路三段,新店分局,24.9847807,121.542552
新北市新店區北宜路一段,新店分局,24.9528421,121.5418085
新北市新店區民權路,新店分局,24.9829231,121.5390574
新北市新店區光明街,新店分局,24.9620599,121.5395431
新北市新店區建國路,新店分局,36.843497,119.4062749
新北市新莊區中正路,新莊分局,25.0311205,121.4297858
新北市新莊區中港路,新莊分局,25.040882,121.455132
新北市新莊區幸福路,新莊分局,25.0493569,121.4556529
新北市新莊區龍安路,新莊分局,25.0193471,121.4219631
新北市樹林區博愛街,樹林分局,24.9918725,121.4269157
新北市八里區中山路三段,蘆洲分局,25.1381672,121.3740883
新北市蘆洲區中正路,蘆洲分局,25.0942822,121.4627448
新北市蘆洲區集賢路,蘆洲分局,30.4932276,120.2936505
新北市三重區中正北路,三重分局,25.0659175,121.4847526
新北市三重區中正南路,三重分局,25.0574727,121.4941226
新北市三重區正義北路,三重分局,25.0647539,121.4971392
新北市三重區永福街,三重分局,25.0759897,121.479281
新北市三重區重新路三段,三重分局,25.0595938,121.4912565
新北市土城區中央路一段,土城分局,24.9866737,121.4457588
新北市土城區金城路一段,土城分局,24.9727154,121.4438994
新北市中和區捷運路,中和分局,24.9899786,121.5086425
新北市永和區永和路二段,永和分局,25.0119078,121.5150307
新北市板橋區文化路一段,海山分局,25.0145712,121.4617579
新北市板橋區南雅南路二段,板橋分局,24.9963535,121.4519106
新北市新莊區思源路,新莊分局,25.0404415,121.4602166
新北市蘆洲區中山一路,蘆洲分局,25.0794018,121.479121
新北市三峽區復興路,三峽分局,24.9380445,121.371726
新北市中和區中山路,中和分局,36.843497,119.4062749
新北市中和區復興路,中和分局,24.989903,121.5052806
新北市永和區永和路,永和分局,25.0086975,121.5207347
新北市板橋區府中捷運站,板橋分局,25.0089197,121.4587643
新北市新店區央北二路,新店分局,24.9799723,121.5264353
新北市新莊區中正路,新莊分局,25.0311205,121.4297858
新北市新莊區民安西路,新莊分局,25.0113003,121.4272159
新北市新莊區建國一路,新莊分局,25.0303694,121.4343815
新北市三重區中正北路,三重分局,25.0659175,121.4847526
新北市三重區正義北路,三重分局,25.0647539,121.4971392
新北市三重區重陽路,三重分局,25.0569579,121.5998296
新北市中和區中和路,中和分局,25.008017,121.492983
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市永和區永和路,永和分局,25.0086975,121.5207347
新北市板橋區中山路,海山分局,25.00931,121.4703671
新北市板橋區府中捷運站,板橋分局,25.0089197,121.4587643
新北市新莊區建國一路,新莊分局,25.0303694,121.4343815
新北市新店區北新路,新店分局,25.20714,121.5042231
新北市三重區中興北街,三重分局,25.0505315,121.4693549
新北市土城區中央路,土城分局,24.9914998,121.448514
新北市中和區中和路,中和分局,25.008017,121.492983
新北市中和區景安捷運站,中和分局,24.9934517,121.505623
新北市永和區中山路,永和分局,36.8439594,119.4051914
新北市板橋區民生路,海山分局,25.0181051,121.4716354
新北市新店區北新路,新店分局,25.20714,121.5042231
新北市新店區寶橋路,新店分局,24.9747647,121.5449921
新北市新莊區民安路,新莊分局,25.0229667,121.4310471
新北市新莊區新泰路,新莊分局,25.0369263,121.4478939
新北市八里區中山路,蘆洲分局,25.148428,121.401274
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市中和區秀朗路,中和分局,24.9956,121.52655
新北市板橋區陽明街,海山分局,25.0228687,121.4642376
新北市板橋區民生路三段,海山分局,25.0293201,121.4644444
新北市板橋區文化路2段,海山分局,25.026573,121.4701257
新北市新店區碧潭路,新店分局,24.9585955,121.5342586
新北市新店區中正路,新店分局,24.9853769,121.5336191
新北市新莊區新泰路,新莊分局,25.0369263,121.4478939
新北市蘆洲區復興路,蘆洲分局,25.0908734,121.483372
新北市三重區重陽路,三重分局,25.0569579,121.5998296
新北市中和區中山路,中和分局,36.843497,119.4062749
新北市板橋區民生路,海山分局,25.0181051,121.4716354
新北市三重區中正北路,三重分局,25.0659175,121.4847526
新北市板橋區重慶路,板橋分局,25.0048437,121.4622088
新北市永和區中山路,永和分局,36.8439594,119.4051914
新北市新莊區福營路,新莊分局,25.0307376,121.4312386
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市土城區明德路,土城分局,24.9845823,121.4651757
新北市土城區裕民路,土城分局,24.9873012,121.4499352
新北市中和區華新街,中和分局,31.789252,119.9507511
新北市新莊區中華路,新莊分局,25.046489,121.4533366
新北市三重區自強路,三重分局,25.0749381,121.4873004
新北市中和區建八路,中和分局,24.9985879,121.4910615
新北市中和區立德街,中和分局,25.0084563,121.4864339
新北市樹林區博愛街,樹林分局,24.9918725,121.4269157
新北市中和區中和路,中和分局,25.008017,121.492983
新北市中和區中安街,中和分局,25.0009646,121.5114698
新北市三重區新北大道,三重分局,25.0612951,121.4885145
新北市土城區金城路,土城分局,24.9439333,121.37787
新北市土城區裕民路,土城分局,24.9873012,121.4499352
新北市中和區景平路,中和分局,24.998384,121.5000029
新北市永和區保安路,永和分局,25.015916,121.5095215
新北市板橋區民權路,板橋分局,25.0145242,121.4583861
新北市板橋區府中路,板橋分局,25.0089197,121.4587643
新北市板橋區新府路,板橋分局,25.0123194,121.4642819
新北市板橋區中山路,海山分局,25.00931,121.4703671
新北市新莊區中正路,新莊分局,25.0311205,121.4297858
新北市新莊區思源路,新莊分局,25.0404415,121.4602166
新北市三峽區大觀路,三峽分局,24.9457701,121.3743893
新北市中和區中正路,中和分局,25.02473,121.4506
新北市石門區下員坑,金山分局,25.280485,121.52169
新北市新莊區中平路,新莊分局,25.0568273,121.4439702
新北市新莊區新北大道二段,新莊分局,25.0606615,121.4623132
新北市三重區中華路,三重分局,25.0623012,121.483518
新北市土城區明德路,土城分局,24.9845823,121.4651757
新北市土城區海山路,土城分局,24.9867607,121.4493473
新北市土城區中央路,土城分局,24.9914998,121.448514
新北市永和區永和路,永和分局,25.0086975,121.5207347
新北市板橋區金門街,板橋分局,24.9880701,121.4312546
新北市林口區文化路,林口分局,25.0674176,121.3595007
新北市新莊區中正路,新莊分局,25.0311205,121.4297858
新北市三重區秀江街,三重分局,25.0720718,121.499308
新北市土城區延吉街,土城分局,24.9864475,121.4708685
新北市中和區連城路,中和分局,24.992161,121.4773249
新北市新莊區民安路,新莊分局,25.0229667,121.4310471
新北市板橋區重慶路,板橋分局,25.0048437,121.4622088
新北市土城區金城路二段,土城分局,24.9846086,121.4595055
新北市土城區明德路一段,土城分局,24.9791568,121.4640421
新北市土城區中央路三段,土城分局,24.9645619,121.4296782
新北市泰山區文程路,林口分局,25.0484131,121.4300336