醫事機構代碼,醫事機構名稱,醫事機構種類,電話,地址,分區業務組,特約類別,服務項目,診療科別,終止合約或歇業日期,固定看診時段,備註,縣市別代碼,合約起日,類型
1531021183,全民醫院,醫院,(02)22821575,新北市三重區三和路４段１０３之２號１樓、２樓、３樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,外科,泌尿科,復健科",20260806.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,114／1／1晚上休診,65000,20230807,地區醫院
1531021192,宏仁醫院,醫院,(02)29788877,新北市三重區水漾路１段１５８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","家醫科,內科,外科,骨科,泌尿科,復健科,職業醫學科,急診醫學科,麻醉科,放射診斷科",20270731.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20240801,地區醫院
1531031278,永和復康醫院,醫院,(02)29240925,新北市永和區中和路５７５、５７７、５７９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","內科,復健科",20271105.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20151106,地區醫院
1531040259,中祥醫院,醫院,(02)22405055,新北市中和區中山路二段３５９巷２號、４號、６號,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,外科",20250901.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上看診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19960902,地區醫院
1531041363,蕙生醫院,醫院,(02)22236339,新北市中和區中山路２段５５１號地下１樓至地上１至６樓,臺北業務組,3,"門診診療,婦女人類乳突病毒檢測服務,住院診療,分娩","兒科,婦產科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20050301,地區醫院
1531041390,怡和醫院,醫院,(02)22450009,新北市中和區連城路４９號１至４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,泌尿科,復健科",20250901.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20130902,地區醫院
1531041407,祥顥醫院,醫院,(02)29468795,新北市中和區景平路４１２、４１２之１號１至５樓,臺北業務組,3,,,20220615.0,,,65000,20151224,地區醫院
1531050077,同仁醫院,醫院,(02)29170201,新北市新店區民權路８９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療,血液透析","內科,外科,復健科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301,地區醫院
1531050086,宏慈療養院,精神科醫院,(02)22151177,新北市新店區安泰路１５７號１、２樓,臺北業務組,3,"門診診療,住院診療,精神病患者居家照護",精神科,20251102.0,星期一上午看診、星期二上午休診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19971103,地區醫院
1531051163,豐榮醫院,醫院,(02)22122111,新北市新店區安德街２６巷３號B棟,臺北業務組,3,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查","內科,外科,骨科,復健科,麻醉科,放射診斷科",20270412.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20180413,地區醫院
1531051172,新北仁康醫院,醫院,(02)22152345,新北市新店區安康路２段３２３號地上１至２樓B棟,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療","內科,外科,骨科,神經科,復健科",20270805.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20180806,地區醫院
1531060046,大順醫院,慢性醫院,(02)29911726,新北市新莊區中正路２１５號１－４樓,臺北業務組,3,"門診診療,分娩","內科,外科,婦產科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301,地區醫院
1531060073,新莊英仁醫院,醫院,(02)29916363,新北市新莊區大觀街４６－２號,臺北業務組,3,"門診診療,住院診療","不分科,內科,外科,婦產科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,19950301,地區醫院
1531060180,新泰綜合醫院,綜合醫院,(02)29962121,新北市新莊區新樹路１７６號,臺北業務組,3,,,20220301.0,,,65000,19960711,地區醫院
1531061230,益民醫院,醫院,(02)89911050,新北市新莊區中港路１２７號１－４樓,臺北業務組,3,"門診診療,住院診療",內科,20280630.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午休診、星期二下午休診、星期三下午休診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,1140125-1140202休診,65000,20100701,地區醫院
1531061249,新泰綜合醫院,醫院,(02)29962121,新北市新莊區新樹路１７６號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,結核病","內科,外科,兒科,婦產科,骨科,泌尿科,眼科,神經科,復健科,職業醫學科,急診醫學科,麻醉科,放射診斷科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,20220301,地區醫院
1531061258,祥顥醫院,醫院,(02)22798898,新北市新莊區思源路２號１、４、５、６、７樓,臺北業務組,3,"門診診療,住院診療","內科,兒科",20280614.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午休診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20220615,地區醫院
1531071030,仁愛醫院,綜合醫院,(02)26834567,新北市樹林區文化街９號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查","家醫科,內科,外科,骨科,泌尿科,神經科,復健科,急診醫學科,麻醉科,放射線科",20250806.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,急診24小時服務,65000,20000807,地區醫院
1531091149,清福醫院,醫院,(02)26739288,新北市三峽區介壽路１段２８６號２樓,臺北業務組,3,"門診診療,住院診療,血液透析","家醫科,內科,婦產科",20270131.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,-,65000,20210201,地區醫院
1531100027,公祥醫院,醫院,(02)26217638,新北市淡水區英專路２１巷２５、２７號、中山路３８、４０號,臺北業務組,3,,,20220301.0,,,65000,19950301,地區醫院
1531101113,泓安醫院,精神科醫院,(02)26232681,新北市淡水區下圭柔山９１巷２號１－４樓地下１樓,臺北業務組,3,,,20250516.0,星期一上午休診、星期二上午看診、星期三上午休診、星期四上午休診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20030415,地區醫院
1531120038,瑞芳礦工醫院,醫院,(02)24974101,新北市瑞芳區一坑路７１之２號,臺北業務組,3,"復健－物理治療業務,急診業務,門診診療,住院診療,血液透析","內科,外科,骨科",20250731.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20100801,地區醫院
1531130052,廣川醫院,醫院,(02)22617000,新北市土城區裕民路２７４、２７６、２７８號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療","家醫科,內科,外科,骨科,泌尿科,復健科",20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午看診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上看診,-,65000,19950301,地區醫院
1531130105,仁安醫院,醫院,(02)22627088,新北市土城區中央路１段６２．６４號,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,門診診療,住院診療","家醫科,內科,外科,復健科",20280420.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19990421,地區醫院
1531131139,元復醫院,醫院,(02)22661886,新北市土城區中央路２段３１８－３２４號１－４樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－聽力語言治療業務,門診診療,住院診療","家醫科,內科,骨科,復健科",20260107.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,65000,20070108,地區醫院
1531131157,恩樺醫院,醫院,(02)22639955,新北市土城區中央路１段７－１８號地下１樓、１樓、２樓,臺北業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,門診診療,住院診療,血液透析","內科,兒科,復健科",20251031.0,星期一上午看診、星期二上午看診、星期三上午休診、星期四上午看診、星期五上午休診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午休診、星期三下午休診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20161101,地區醫院
1531140058,全民醫院,醫院,(02)22821575,新北市蘆洲區三民路５、７、９號（１）樓,臺北業務組,3,,,20230807.0,,,65000,20191101,地區醫院
1531210019,台安醫院,精神科醫院,(02)26371600,新北市三芝區楓子林路４２－５號,臺北業務組,3,"門診診療,住院診療",精神科,20280229.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,19950301,地區醫院
1532040066,怡仁綜合醫院,綜合醫院,(03)4855566,桃園市楊梅區楊新北路３２１巷３０號,北區業務組,3,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,婦女人類乳突病毒檢測服務,住院診療,血液透析,居家照護,分娩,胸部低劑量電腦斷層檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,神經科,復健科,職業醫學科,急診醫學科,牙科,麻醉科,放射腫瘤科,放射診斷科",20250913.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午看診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上看診、星期日晚上休診,114年1月1日元旦門診全日暫停服務,68000,19960914,地區醫院
1701110019,德威國際牙醫口腔醫院,牙醫醫院,(02)27990123,臺北市內湖區內湖路１段６５９號１樓,臺北業務組,3,"門診診療,住院診療","牙髓病科,牙周病科,贋復補綴牙科,齒顎矯正科,家庭牙醫科,特殊需求者口腔醫學科",20270202.0,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,-,63000,20210203,地區醫院
101090517,臺北市立聯合醫院,綜合醫院,(02)25553000,臺北市大同區鄭州路１４５號（代表）,臺北業務組,2,"安寧居家療護(乙類),復健－物理治療業務,復健－職能治療業務,住院安寧療護,安寧居家療護(甲類),復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,口腔顎面外科,口腔病理科,家庭牙醫科,特殊需求者口腔醫學科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午看診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,急診服務全年無休,63000,20050101,區域醫院
131020016,新北市立聯合醫院,綜合醫院,(02)29829111,新北市三重區新北大道１段３號、３之１號、板橋區英士路１９８號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,胸部低劑量電腦斷層檢查,腹膜透析業務,結核病","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,急診醫學科,牙科,中醫一般科,麻醉科,病理科,核子醫學科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,65000,20111101,區域醫院
131060029,衛生福利部臺北醫院,綜合醫院,(02)22765566,新北市新莊區思源路１２７號、新北巿新莊區長青街６號２樓、３樓,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,住院安寧療護,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,義肢業務,胸部低劑量電腦斷層檢查,精神科日間住院治療,結核病","不分科,家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,整形外科,職業醫學科,急診醫學科,牙科,中醫一般科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,全年全天24小時提供急診服務,65000,19950301,區域醫院
131230012,衛生福利部八里療養院,精神科醫院,(02)26101660,新北市八里區華富山３３號、土城區青雲路６號１、２樓、蘆洲區,臺北業務組,2,"急診業務,門診診療,住院診療,精神病患者居家照護,精神科日間住院治療",精神科,,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午休診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上休診、星期三晚上休診、星期四晚上休診、星期五晚上休診、星期六晚上休診、星期日晚上休診,連續假期全日提供24小時急診服務,65000,19950301,區域醫院
401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,醫院,(02)23220322,臺北市大安區基隆路３段１５５巷５７號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,胸部低劑量電腦斷層檢查,腹膜透析業務","內科,外科,婦產科,骨科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,口腔顎面外科,家庭牙醫科,麻醉科,核子醫學科,放射腫瘤科,放射診斷科,解剖病理科,臨床病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午休診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上休診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,20181203,區域醫院
501010019,三軍總醫院松山分院附設民眾診療服務處,綜合醫院,(02)27642151,臺北市松山區健康路１３１號,臺北業務組,2,"復健－物理治療業務,復健－職能治療業務,復健－語言治療業務,急診業務,門診診療,住院診療,血液透析,分娩,精神病患者居家照護,胸部低劑量電腦斷層檢查","家醫科,內科,外科,兒科,婦產科,骨科,神經外科,泌尿科,耳鼻喉科,眼科,皮膚科,神經科,精神科,復健科,急診醫學科,牙科,麻醉科,放射線科,病理科,解剖病理科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上休診、星期三晚上休診、星期四晚上看診、星期五晚上休診、星期六晚上休診、星期日晚上休診,-,63000,19950301,區域醫院
501160014,三軍總醫院北投分院附設民眾診療服務處,醫院,(02)28959808,臺北市北投區新民路６０號、中和街２５０號１至４樓,臺北業務組,2,"急診業務,門診診療,住院診療,精神病患者居家照護,精神科日間住院治療","不分科,家醫科,內科,外科,神經科,精神科,牙科",,星期一上午看診、星期二上午看診、星期三上午看診、星期四上午看診、星期五上午看診、星期六上午看診、星期日上午休診、星期一下午看診、星期二下午看診、星期三下午看診、星期四下午看診、星期五下午看診、星期六下午休診、星期日下午休診、星期一晚上看診、星期二晚上看診、星期三晚上看診、星期四晚上看診、星期五晚上看診、星期六晚上休診、星期日晚上休診,設有24小時急診服務,63000,19950301,區域醫院
